date,search
2019-01-01,27.0
2019-02-01,26.0
2019-03-01,23.0
2019-04-01,24.0
2019-05-01,33.0
2019-06-01,21.0
2019-07-01,27.0
2019-08-01,44.0
2019-09-01,40.0
2019-10-01,36.0
2019-11-01,46.0
2019-12-01,50.0
2020-01-01,52.0
2020-02-01,48.0
2020-03-01,40.0
2020-04-01,35.0
2020-05-01,36.0
2020-06-01,58.0
2020-07-01,63.0
2020-08-01,68.0
2020-09-01,75.0
2020-10-01,64.0
2020-11-01,57.0
2020-12-01,69.0
2021-01-01,60.0
2021-02-01,57.0
2021-03-01,57.0
2021-04-01,72.0
2021-05-01,83.0
2021-06-01,86.0
2021-07-01,87.0
2021-08-01,97.0
2021-09-01,95.0
2021-10-01,99.0
2021-11-01,100.0
2021-12-01,58.0
2022-01-01,52.0
2022-02-01,55.0
2022-03-01,52.0
2022-04-01,50.0
2022-05-01,48.0
2022-06-01,52.0
2022-07-01,54.0
2022-08-01,49.0
2022-09-01,48.0
2022-10-01,52.0
2022-11-01,43.0
2022-12-01,49.0
2023-01-01,44.0
2023-02-01,40.0
2023-03-01,39.0
2023-04-01,48.0
2023-05-01,54.0
2023-06-01,52.0
2023-07-01,51.0
2023-08-01,61.0
2023-09-01,48.0
2023-10-01,49.0
2023-11-01,49.0
2023-12-01,50.0
2024-01-01,58.0
2024-02-01,49.0
2024-03-01,46.0
2024-04-01,45.0
2024-05-01,43.0
2024-06-01,47.0
2024-07-01,43.0
2024-08-01,50.0
2024-09-01,54.0
2024-10-01,46.0
2024-11-01,46.0
2024-12-01,48.0
2025-01-01,43.0
2025-02-01,48.0
2025-03-01,47.0
2025-04-01,47.0
2025-05-01,64.0
2025-06-01,74.0
2025-07-01,75.0
2025-08-01,53.0
2025-09-01,39.0
2025-10-01,41.0
2025-11-01,65.0
2025-12-01,85.0
2026-01-01,73.0
2026-02-01,81.0
2026-03-01,65.0
2026-04-01,72.0
2026-05-01,71.0
