anno,cat_code,categoria,posti_letto,esercizi
2021,17,Campeggi,14687.0,55.0
2021,21,Alloggi privati,26278.0,3396.0
2021,23,Agriturismi,26288.0,2922.0
2021,99,Altri esercizi,10008.0,398.0
2021,A,Alberghiero,151963.0,3940.0
2021,E,Extralberghiero,77261.0,6770.0
2021,TOTAL,Totale,229223.0,10710.0
2022,01_03,4-5 stelle,43500.0,577.0
2022,05,3 stelle,61887.0,1494.0
2022,07_09,1-2 stelle,25147.0,981.0
2022,11,Residence,22402.0,867.0
2022,17,Campeggi,15120.0,58.0
2022,21,Alloggi privati,27933.0,3703.0
2022,23,Agriturismi,26940.0,2953.0
2022,99,Altri esercizi,10917.0,495.0
2022,A,Alberghiero,152936.0,3920.0
2022,E,Extralberghiero,80910.0,7208.0
2022,TOTAL,Totale,233845.0,11128.0
2023,01_03,4-5 stelle,46060.0,602.0
2023,05,3 stelle,61469.0,1474.0
2023,07_09,1-2 stelle,24700.0,958.0
2023,11,Residence,23197.0,883.0
2023,17,Campeggi,15403.0,59.0
2023,21,Alloggi privati,31496.0,4231.0
2023,23,Agriturismi,29067.0,3000.0
2023,99,Altri esercizi,12027.0,562.0
2023,A,Alberghiero,155426.0,3917.0
2023,E,Extralberghiero,87992.0,7852.0
2023,TOTAL,Totale,243418.0,11770.0
2024,01_03,4-5 stelle,49404.0,628.0
2024,05,3 stelle,62200.0,1454.0
2024,07_09,1-2 stelle,24563.0,934.0
2024,11,Residence,24093.0,897.0
2024,17,Campeggi,16041.0,64.0
2024,21,Alloggi privati,34055.0,4392.0
2024,23,Agriturismi,32071.0,3061.0
2024,99,Altri esercizi,11167.0,489.0
2024,A,Alberghiero,160260.0,3913.0
2024,E,Extralberghiero,93332.0,8006.0
2024,TOTAL,Totale,253592.0,11918.0
2025,01_03,4-5 stelle,53639.0,653.0
2025,05,3 stelle,63040.0,1451.0
2025,07_09,1-2 stelle,24730.0,916.0
2025,11,Residence,25471.0,934.0
2025,17,Campeggi,16541.0,74.0
2025,21,Alloggi privati,34755.0,4367.0
2025,23,Agriturismi,34310.0,3163.0
2025,99,Altri esercizi,10382.0,629.0
2025,A,Alberghiero,166879.0,3954.0
2025,E,Extralberghiero,95988.0,8234.0
2025,TOTAL,Totale,262868.0,12187.0
