anno,letti
2002,4099585.0
2003,4158621.0
2004,4205577.0
2005,4350533.0
2006,4498910.0
2007,4485581.0
2008,4649050.0
2009,4600359.0
2010,4698852.0
2011,4742064.0
2012,4762601.0
2013,4728180.0
2014,4849432.0
2015,4879333.0
2016,4942512.0
2017,5037798.0
2018,5113197.0
2019,5175803.0
2020,5151356.0
2021,5120175.0
2022,5200234.0
2023,5207116.0
2024,5498773.0
