anno,letti
2002,52654.0
2003,53280.0
2004,50640.0
2005,49838.0
2006,50691.0
2007,51161.0
2008,53287.0
2009,53521.0
2010,53272.0
2011,53296.0
2012,52828.0
2013,53173.0
2014,53523.0
2015,54097.0
2016,54476.0
2017,55295.0
2018,57883.0
2019,57756.0
2020,57795.0
2021,57787.0
2022,57850.0
2023,55844.0
2024,56519.0
