anno,letti
2002,654041.0
2003,642538.0
2004,629639.0
2005,678112.0
2006,705000.0
2007,632820.0
2008,691765.0
2009,695415.0
2010,692987.0
2011,708001.0
2012,717098.0
2013,712655.0
2014,702447.0
2015,707406.0
2016,718393.0
2017,750855.0
2018,786183.0
2019,794251.0
2020,787520.0
2021,733163.0
2022,741249.0
2023,765316.0
2024,795829.0
