anno,area,scopo,notti
2015,ITE3,HOLL,7093000
2015,ITE3,HOLS,1177000
2015,ITE3,TRIP,8854000
2015,ITE4,BUS,1759000
2015,ITE4,HOL,23991000
2015,ITE4,HOLL,17966000
2015,ITE4,HOLS,6025000
2015,ITE4,TRIP,25750000
2015,ITF1,BUS,198000
2015,ITF1,HOL,7764000
2015,ITF1,HOLL,6776000
2015,ITF1,HOLS,987000
2015,ITF1,TRIP,7962000
2015,ITF2,BUS,0
2015,ITF2,HOL,3519000
2015,ITF2,HOLL,3390000
2015,ITF2,HOLS,129000
2015,ITF2,TRIP,3519000
2015,ITF3,BUS,969000
2015,ITF3,HOL,20251000
2015,ITF3,HOLL,18432000
2015,ITF3,HOLS,1819000
2015,ITF3,TRIP,21220000
2015,ITF4,BUS,432000
2015,ITF4,HOL,18092000
2015,ITF4,HOLL,17703000
2015,ITF4,HOLS,389000
2015,ITF4,TRIP,18524000
2015,ITF5,BUS,70000
2015,ITF5,HOL,5564000
2015,ITF5,HOLL,5371000
2015,ITF5,HOLS,193000
2015,ITF5,TRIP,5634000
2015,ITF6,BUS,219000
2015,ITF6,HOL,6870000
2015,ITF6,HOLL,6648000
2015,ITF6,HOLS,222000
2015,ITF6,TRIP,7090000
2015,ITG1,BUS,730000
2015,ITG1,HOL,8606000
2015,ITG1,HOLL,8239000
2015,ITG1,HOLS,367000
2015,ITG1,TRIP,9336000
2015,ITG2,BUS,73000
2015,ITG2,HOL,11028000
2015,ITG2,HOLL,9444000
2015,ITG2,HOLS,1584000
2015,ITG2,TRIP,11101000
2016,IT,BUS,11994000
2016,IT,HOL,258816000
2016,IT,HOLL,207336000
2016,IT,HOLS,51480000
2016,IT,TRIP,270810000
2016,ITC1,BUS,690000
2016,ITC1,HOL,12282000
2016,ITC1,HOLL,8027000
2016,ITC1,HOLS,4255000
2016,ITC1,TRIP,12972000
2016,ITC2,BUS,12000
2016,ITC2,HOL,5090000
2016,ITC2,HOLL,4790000
2016,ITC2,HOLS,300000
2016,ITC2,TRIP,5102000
2016,ITC3,BUS,847000
2016,ITC3,HOL,13520000
2016,ITC3,HOLL,9249000
2016,ITC3,HOLS,4271000
