date,provincia,origine,presenze
2019-08-01,Chieti,estero,21915.0
2019-09-01,Chieti,estero,12222.0
2019-10-01,Chieti,estero,6528.0
2019-11-01,Chieti,estero,3630.0
2019-12-01,Chieti,estero,2836.0
2020-01-01,Chieti,estero,2466.0
2020-02-01,Chieti,estero,2569.0
2020-03-01,Chieti,estero,416.0
2020-04-01,Chieti,estero,90.0
2020-05-01,Chieti,estero,85.0
2020-06-01,Chieti,estero,1607.0
2020-07-01,Chieti,estero,8156.0
2020-08-01,Chieti,estero,9036.0
2020-09-01,Chieti,estero,6000.0
2020-10-01,Chieti,estero,2726.0
2020-11-01,Chieti,estero,758.0
2020-12-01,Chieti,estero,597.0
2021-01-01,Chieti,estero,714.0
2021-02-01,Chieti,estero,748.0
2021-03-01,Chieti,estero,862.0
2021-04-01,Chieti,estero,1044.0
2021-05-01,Chieti,estero,2008.0
2021-06-01,Chieti,estero,4879.0
2021-07-01,Chieti,estero,17647.0
2021-08-01,Chieti,estero,16625.0
2021-09-01,Chieti,estero,10035.0
2021-10-01,Chieti,estero,4265.0
2021-11-01,Chieti,estero,3287.0
2021-12-01,Chieti,estero,2043.0
2022-01-01,Chieti,estero,1417.0
2022-02-01,Chieti,estero,2200.0
2022-03-01,Chieti,estero,3583.0
2022-04-01,Chieti,estero,8084.0
2022-05-01,Chieti,estero,12498.0
2022-06-01,Chieti,estero,18040.0
2022-07-01,Chieti,estero,31352.0
2022-08-01,Chieti,estero,28063.0
2022-09-01,Chieti,estero,20237.0
2022-10-01,Chieti,estero,14438.0
2022-11-01,Chieti,estero,11324.0
2022-12-01,Chieti,estero,10242.0
2023-01-01,Chieti,estero,5696.0
2023-02-01,Chieti,estero,4827.0
2023-03-01,Chieti,estero,7065.0
2023-04-01,Chieti,estero,9390.0
2023-05-01,Chieti,estero,14397.0
2023-06-01,Chieti,estero,18245.0
2023-07-01,Chieti,estero,32775.0
2023-08-01,Chieti,estero,28602.0
2023-09-01,Chieti,estero,22765.0
2023-10-01,Chieti,estero,14805.0
2023-11-01,Chieti,estero,11944.0
2023-12-01,Chieti,estero,10457.0
2024-01-01,Chieti,estero,8135.0
2024-02-01,Chieti,estero,6281.0
2024-03-01,Chieti,estero,5484.0
2024-04-01,Chieti,estero,11027.0
2024-05-01,Chieti,estero,14369.0
2024-06-01,Chieti,estero,19978.0
2024-07-01,Chieti,estero,31876.0
2024-08-01,Chieti,estero,27273.0
2024-09-01,Chieti,estero,18126.0
2024-10-01,Chieti,estero,15849.0
2024-11-01,Chieti,estero,7189.0
2024-12-01,Chieti,estero,4731.0
2008-01-01,Chieti,italiani,41846.0
2008-02-01,Chieti,italiani,42122.0
2008-03-01,Chieti,italiani,44859.0
2008-04-01,Chieti,italiani,46055.0
2008-05-01,Chieti,italiani,54555.0
2008-06-01,Chieti,italiani,110351.0
2008-07-01,Chieti,italiani,237673.0
2008-08-01,Chieti,italiani,343792.0
2008-09-01,Chieti,italiani,69084.0
2008-10-01,Chieti,italiani,43108.0
2008-11-01,Chieti,italiani,37842.0
2008-12-01,Chieti,italiani,35471.0
2009-01-01,Chieti,italiani,41198.0
2009-02-01,Chieti,italiani,39368.0
2009-03-01,Chieti,italiani,41890.0
2009-04-01,Chieti,italiani,40802.0
2009-05-01,Chieti,italiani,52697.0
2009-06-01,Chieti,italiani,103933.0
2009-07-01,Chieti,italiani,214859.0
2009-08-01,Chieti,italiani,316824.0
2009-09-01,Chieti,italiani,77580.0
2009-10-01,Chieti,italiani,47848.0
2009-11-01,Chieti,italiani,43752.0
2009-12-01,Chieti,italiani,39010.0
2010-01-01,Chieti,italiani,38825.0
2010-02-01,Chieti,italiani,40663.0
2010-03-01,Chieti,italiani,40646.0
2010-04-01,Chieti,italiani,44884.0
2010-05-01,Chieti,italiani,49120.0
2010-06-01,Chieti,italiani,111436.0
2010-07-01,Chieti,italiani,230670.0
2010-08-01,Chieti,italiani,351211.0
2010-09-01,Chieti,italiani,86826.0
2010-10-01,Chieti,italiani,57643.0
2010-11-01,Chieti,italiani,50354.0
2010-12-01,Chieti,italiani,45211.0
2011-01-01,Chieti,italiani,42234.0
2011-02-01,Chieti,italiani,46667.0
2011-03-01,Chieti,italiani,49463.0
2011-04-01,Chieti,italiani,49287.0
2011-05-01,Chieti,italiani,56892.0
2011-06-01,Chieti,italiani,126472.0
2011-07-01,Chieti,italiani,253065.0
2011-08-01,Chieti,italiani,347562.0
2011-09-01,Chieti,italiani,74798.0
2011-10-01,Chieti,italiani,40647.0
2011-11-01,Chieti,italiani,34559.0
2011-12-01,Chieti,italiani,31624.0
2012-01-01,Chieti,italiani,30910.0
2012-02-01,Chieti,italiani,26480.0
2012-03-01,Chieti,italiani,34645.0
2012-04-01,Chieti,italiani,36398.0
2012-05-01,Chieti,italiani,41305.0
2012-06-01,Chieti,italiani,110250.0
2012-07-01,Chieti,italiani,227400.0
2012-08-01,Chieti,italiani,325477.0
2012-09-01,Chieti,italiani,82387.0
2012-10-01,Chieti,italiani,39428.0
2012-11-01,Chieti,italiani,37399.0
2012-12-01,Chieti,italiani,36863.0
2013-01-01,Chieti,italiani,33811.0
2013-02-01,Chieti,italiani,33203.0
2013-03-01,Chieti,italiani,38729.0
2013-04-01,Chieti,italiani,35310.0
2013-05-01,Chieti,italiani,41968.0
2013-06-01,Chieti,italiani,100645.0
2013-07-01,Chieti,italiani,214639.0
2013-08-01,Chieti,italiani,314443.0
2013-09-01,Chieti,italiani,69319.0
2013-10-01,Chieti,italiani,34329.0
2013-11-01,Chieti,italiani,31691.0
2013-12-01,Chieti,italiani,29861.0
2014-01-01,Chieti,italiani,30130.0
2014-02-01,Chieti,italiani,29437.0
2014-03-01,Chieti,italiani,32156.0
2014-04-01,Chieti,italiani,36077.0
2014-05-01,Chieti,italiani,34808.0
2014-06-01,Chieti,italiani,86455.0
2014-07-01,Chieti,italiani,189803.0
2014-08-01,Chieti,italiani,268725.0
2014-09-01,Chieti,italiani,53930.0
2014-10-01,Chieti,italiani,44474.0
2014-11-01,Chieti,italiani,54545.0
2014-12-01,Chieti,italiani,52080.0
2015-01-01,Chieti,italiani,20687.0
2015-02-01,Chieti,italiani,23271.0
2015-03-01,Chieti,italiani,24670.0
2015-04-01,Chieti,italiani,28521.0
2015-05-01,Chieti,italiani,33708.0
2015-06-01,Chieti,italiani,79691.0
2015-07-01,Chieti,italiani,178413.0
2015-08-01,Chieti,italiani,247874.0
2015-09-01,Chieti,italiani,63123.0
2015-10-01,Chieti,italiani,32684.0
2015-11-01,Chieti,italiani,26553.0
2015-12-01,Chieti,italiani,27426.0
2016-01-01,Chieti,italiani,26404.0
2016-02-01,Chieti,italiani,24822.0
2016-03-01,Chieti,italiani,28943.0
2016-04-01,Chieti,italiani,28520.0
2016-05-01,Chieti,italiani,29153.0
2016-06-01,Chieti,italiani,74150.0
2016-07-01,Chieti,italiani,172039.0
2016-08-01,Chieti,italiani,231147.0
2016-09-01,Chieti,italiani,51270.0
2016-10-01,Chieti,italiani,27380.0
2016-11-01,Chieti,italiani,21339.0
2016-12-01,Chieti,italiani,22244.0
2017-01-01,Chieti,italiani,23087.0
2017-02-01,Chieti,italiani,24789.0
2017-03-01,Chieti,italiani,25478.0
2017-04-01,Chieti,italiani,31922.0
2017-05-01,Chieti,italiani,30214.0
2017-06-01,Chieti,italiani,101798.0
2017-07-01,Chieti,italiani,193007.0
2017-08-01,Chieti,italiani,259473.0
2017-09-01,Chieti,italiani,61973.0
2017-10-01,Chieti,italiani,34807.0
2017-11-01,Chieti,italiani,28939.0
2017-12-01,Chieti,italiani,33072.0
2018-01-01,Chieti,italiani,26938.0
2018-02-01,Chieti,italiani,25664.0
2018-03-01,Chieti,italiani,40246.0
2018-04-01,Chieti,italiani,43922.0
2018-05-01,Chieti,italiani,42851.0
2018-06-01,Chieti,italiani,114941.0
2018-07-01,Chieti,italiani,200173.0
2018-08-01,Chieti,italiani,257016.0
2018-09-01,Chieti,italiani,75777.0
2018-10-01,Chieti,italiani,40111.0
2018-11-01,Chieti,italiani,33093.0
2018-12-01,Chieti,italiani,30134.0
2019-01-01,Chieti,italiani,29952.0
2019-02-01,Chieti,italiani,31641.0
2019-03-01,Chieti,italiani,33786.0
2019-04-01,Chieti,italiani,41660.0
2019-05-01,Chieti,italiani,43857.0
2019-06-01,Chieti,italiani,96304.0
2019-07-01,Chieti,italiani,179845.0
2019-08-01,Chieti,italiani,251308.0
2019-09-01,Chieti,italiani,64691.0
2019-10-01,Chieti,italiani,26484.0
2019-11-01,Chieti,italiani,20492.0
2019-12-01,Chieti,italiani,22112.0
2020-01-01,Chieti,italiani,21221.0
2020-02-01,Chieti,italiani,23811.0
2020-03-01,Chieti,italiani,6060.0
2020-04-01,Chieti,italiani,1892.0
2020-05-01,Chieti,italiani,6698.0
2020-06-01,Chieti,italiani,43868.0
2020-07-01,Chieti,italiani,151673.0
2020-08-01,Chieti,italiani,231637.0
2020-09-01,Chieti,italiani,70259.0
2020-10-01,Chieti,italiani,23287.0
2020-11-01,Chieti,italiani,12759.0
2020-12-01,Chieti,italiani,10510.0
2021-01-01,Chieti,italiani,11393.0
2021-02-01,Chieti,italiani,12990.0
2021-03-01,Chieti,italiani,14105.0
2021-04-01,Chieti,italiani,15936.0
2021-05-01,Chieti,italiani,22903.0
2021-06-01,Chieti,italiani,74889.0
2021-07-01,Chieti,italiani,173532.0
2021-08-01,Chieti,italiani,248894.0
2021-09-01,Chieti,italiani,80715.0
2021-10-01,Chieti,italiani,28985.0
2021-11-01,Chieti,italiani,22353.0
2021-12-01,Chieti,italiani,21997.0
2022-01-01,Chieti,italiani,22227.0
2022-02-01,Chieti,italiani,27338.0
2022-03-01,Chieti,italiani,31228.0
2022-04-01,Chieti,italiani,42659.0
2022-05-01,Chieti,italiani,41220.0
2022-06-01,Chieti,italiani,105433.0
2022-07-01,Chieti,italiani,197791.0
2022-08-01,Chieti,italiani,255395.0
2022-09-01,Chieti,italiani,97908.0
2022-10-01,Chieti,italiani,58550.0
2022-11-01,Chieti,italiani,53459.0
2022-12-01,Chieti,italiani,57260.0
2023-01-01,Chieti,italiani,37610.0
2023-02-01,Chieti,italiani,39708.0
2023-03-01,Chieti,italiani,44004.0
2023-04-01,Chieti,italiani,52462.0
2023-05-01,Chieti,italiani,47429.0
2023-06-01,Chieti,italiani,123435.0
2023-07-01,Chieti,italiani,222011.0
2023-08-01,Chieti,italiani,276569.0
2023-09-01,Chieti,italiani,103460.0
2023-10-01,Chieti,italiani,53344.0
2023-11-01,Chieti,italiani,50706.0
2023-12-01,Chieti,italiani,55030.0
2024-01-01,Chieti,italiani,51206.0
2024-02-01,Chieti,italiani,33831.0
2024-03-01,Chieti,italiani,37291.0
2024-04-01,Chieti,italiani,62613.0
2024-05-01,Chieti,italiani,54177.0
2024-06-01,Chieti,italiani,135095.0
2024-07-01,Chieti,italiani,204114.0
2024-08-01,Chieti,italiani,259223.0
2024-09-01,Chieti,italiani,86894.0
2024-10-01,Chieti,italiani,63631.0
2024-11-01,Chieti,italiani,40234.0
2024-12-01,Chieti,italiani,38780.0
2008-01-01,L'Aquila,estero,4231.0
2008-02-01,L'Aquila,estero,6030.0
2008-03-01,L'Aquila,estero,6273.0
2008-04-01,L'Aquila,estero,7819.0
2008-05-01,L'Aquila,estero,11990.0
2008-06-01,L'Aquila,estero,15210.0
2008-07-01,L'Aquila,estero,20794.0
2008-08-01,L'Aquila,estero,17726.0
2008-09-01,L'Aquila,estero,14000.0
2008-10-01,L'Aquila,estero,7610.0
2008-11-01,L'Aquila,estero,4102.0
2008-12-01,L'Aquila,estero,4410.0
2009-01-01,L'Aquila,estero,4408.0
2009-02-01,L'Aquila,estero,4962.0
2009-03-01,L'Aquila,estero,3964.0
2009-04-01,L'Aquila,estero,3626.0
2009-05-01,L'Aquila,estero,4584.0
2009-06-01,L'Aquila,estero,8425.0
2009-07-01,L'Aquila,estero,11504.0
2009-08-01,L'Aquila,estero,9117.0
2009-09-01,L'Aquila,estero,10639.0
2009-10-01,L'Aquila,estero,7969.0
2009-11-01,L'Aquila,estero,5893.0
2009-12-01,L'Aquila,estero,5286.0
2010-01-01,L'Aquila,estero,5553.0
2010-02-01,L'Aquila,estero,4993.0
2010-03-01,L'Aquila,estero,5741.0
2010-04-01,L'Aquila,estero,5548.0
2010-05-01,L'Aquila,estero,8430.0
2010-06-01,L'Aquila,estero,9526.0
2010-07-01,L'Aquila,estero,12493.0
2010-08-01,L'Aquila,estero,12993.0
2010-09-01,L'Aquila,estero,10762.0
2010-10-01,L'Aquila,estero,7100.0
2010-11-01,L'Aquila,estero,4665.0
2010-12-01,L'Aquila,estero,3953.0
2011-01-01,L'Aquila,estero,4479.0
2011-02-01,L'Aquila,estero,5195.0
2011-03-01,L'Aquila,estero,4650.0
2011-04-01,L'Aquila,estero,6851.0
2011-05-01,L'Aquila,estero,9644.0
2011-06-01,L'Aquila,estero,11614.0
2011-07-01,L'Aquila,estero,24378.0
2011-08-01,L'Aquila,estero,17363.0
2011-09-01,L'Aquila,estero,10010.0
2011-10-01,L'Aquila,estero,7571.0
2011-11-01,L'Aquila,estero,3766.0
2011-12-01,L'Aquila,estero,3756.0
2012-01-01,L'Aquila,estero,4408.0
2012-02-01,L'Aquila,estero,6031.0
2012-03-01,L'Aquila,estero,9570.0
2012-04-01,L'Aquila,estero,6523.0
2012-05-01,L'Aquila,estero,9307.0
2012-06-01,L'Aquila,estero,11438.0
2012-07-01,L'Aquila,estero,14891.0
2012-08-01,L'Aquila,estero,16437.0
2012-09-01,L'Aquila,estero,14750.0
2012-10-01,L'Aquila,estero,8981.0
2012-11-01,L'Aquila,estero,4553.0
2012-12-01,L'Aquila,estero,5392.0
2013-01-01,L'Aquila,estero,5686.0
2013-02-01,L'Aquila,estero,6269.0
2013-03-01,L'Aquila,estero,6354.0
2013-04-01,L'Aquila,estero,6384.0
2013-05-01,L'Aquila,estero,10992.0
2013-06-01,L'Aquila,estero,11855.0
2013-07-01,L'Aquila,estero,15059.0
2013-08-01,L'Aquila,estero,15392.0
2013-09-01,L'Aquila,estero,11058.0
2013-10-01,L'Aquila,estero,7670.0
2013-11-01,L'Aquila,estero,4540.0
2013-12-01,L'Aquila,estero,9280.0
2014-01-01,L'Aquila,estero,5291.0
2014-02-01,L'Aquila,estero,4984.0
2014-03-01,L'Aquila,estero,4710.0
2014-04-01,L'Aquila,estero,8784.0
2014-05-01,L'Aquila,estero,9149.0
2014-06-01,L'Aquila,estero,10018.0
2014-07-01,L'Aquila,estero,11540.0
2014-08-01,L'Aquila,estero,9664.0
2014-09-01,L'Aquila,estero,12909.0
2014-10-01,L'Aquila,estero,6319.0
2014-11-01,L'Aquila,estero,3948.0
2014-12-01,L'Aquila,estero,3362.0
2015-01-01,L'Aquila,estero,3427.0
2015-02-01,L'Aquila,estero,3685.0
2015-03-01,L'Aquila,estero,2849.0
2015-04-01,L'Aquila,estero,4346.0
2015-05-01,L'Aquila,estero,6816.0
2015-06-01,L'Aquila,estero,8959.0
2015-07-01,L'Aquila,estero,14513.0
2015-08-01,L'Aquila,estero,8531.0
2015-09-01,L'Aquila,estero,7797.0
2015-10-01,L'Aquila,estero,6054.0
2015-11-01,L'Aquila,estero,3969.0
2015-12-01,L'Aquila,estero,3219.0
2016-01-01,L'Aquila,estero,3161.0
2016-02-01,L'Aquila,estero,5770.0
2016-03-01,L'Aquila,estero,3309.0
2016-04-01,L'Aquila,estero,3556.0
2016-05-01,L'Aquila,estero,7344.0
2016-06-01,L'Aquila,estero,8515.0
2016-07-01,L'Aquila,estero,13658.0
2016-08-01,L'Aquila,estero,9542.0
2016-09-01,L'Aquila,estero,8090.0
2016-10-01,L'Aquila,estero,5518.0
2016-11-01,L'Aquila,estero,2522.0
2016-12-01,L'Aquila,estero,2445.0
2017-01-01,L'Aquila,estero,2901.0
2017-02-01,L'Aquila,estero,4581.0
2017-03-01,L'Aquila,estero,4019.0
2017-04-01,L'Aquila,estero,4812.0
2017-05-01,L'Aquila,estero,6831.0
2017-06-01,L'Aquila,estero,7717.0
2017-07-01,L'Aquila,estero,12891.0
2017-08-01,L'Aquila,estero,10819.0
2017-09-01,L'Aquila,estero,9398.0
2017-10-01,L'Aquila,estero,6571.0
