anno,letti
2002,11878.0
2003,12240.0
2004,12662.0
2005,12817.0
2006,13268.0
2007,13723.0
2008,13399.0
2009,10922.0
2010,11711.0
2011,11435.0
2012,11395.0
2013,11753.0
2014,11703.0
2015,11776.0
2016,11710.0
2017,11866.0
2018,11452.0
2019,11363.0
2020,11458.0
2021,11570.0
2022,11524.0
2023,11528.0
2024,11827.0
