anno,sigla_provincia,comune,cod_istat,ambito,arrivi_italiani,arrivi_stranieri,presenze_italiane,presenze_straniere
2019,FI,Empoli,48014,Empolese/Valdelsa,10422,3218,33300,24582
2019,FI,Fiesole,48015,Firenze e area fiorentina,15325,34180,41957,111558
2019,FI,Figline e Incisa Valdarno,48052,Firenze e area fiorentina,33399,57417,110053,409187
2019,FI,Firenze,48017,Firenze e area fiorentina,1085321,2940034,2992770,8055948
2019,FI,Firenzuola,48018,Mugello,5122,1709,12404,15583
2019,FI,Fucecchio,48019,Empolese/Valdelsa,2512,2670,14721,13664
2019,FI,Gambassi Terme,48020,Empolese/Valdelsa,6110,9280,14766,49065
2019,FI,Greve in Chianti,48021,Chianti,9380,46922,25930,194641
2019,FI,Impruneta,48022,Firenze e area fiorentina,14176,29442,61457,86467
2019,FI,Lastra a Signa,48024,Firenze e area fiorentina,13418,12151,45365,43862
2019,FI,Londa,48025,Firenze e area fiorentina,407,438,1862,2670
2019,FI,Marradi,48026,Mugello,3804,1016,21393,8196
2019,FI,Montaione,48027,Empolese/Valdelsa,12414,41478,49148,267462
2019,FI,Montelupo Fiorentino,48028,Empolese/Valdelsa,4295,1381,17085,6547
2019,FI,Montespertoli,48030,Empolese/Valdelsa,7915,18162,32408,120683
2019,FI,Palazzuolo sul Senio,48031,Mugello,2953,1600,12317,12333
2019,FI,Pelago,48032,Firenze e area fiorentina,4376,4430,19784,23642
2019,FI,Pontassieve,48033,Firenze e area fiorentina,7139,55596,18451,94044
2019,FI,Reggello,48035,Firenze e area fiorentina,20018,50550,58232,112865
2019,FI,Rignano sull'Arno,48036,Firenze e area fiorentina,6113,23461,14229,76015
2019,FI,Rufina,48037,Firenze e area fiorentina,1169,1302,4123,5897
2019,FI,San Casciano in Val di Pesa,48038,Chianti,13333,29842,39454,120572
2019,FI,San Godenzo,48039,Mugello,2180,381,6744,2417
2019,FI,Scandicci,48041,Firenze e area fiorentina,12722,5241,41971,21160
2019,FI,Scarperia e San Piero,48053,Mugello,23443,13719,49425,46691
2019,FI,Sesto Fiorentino,48043,Firenze e area fiorentina,32867,44816,202427,301116
2019,FI,Signa,48044,Firenze e area fiorentina,14458,33304,40420,47368
2019,FI,Vaglia,48046,Firenze e area fiorentina,5775,11318,17974,22220
2019,FI,Vicchio,48049,Mugello,2759,4108,18841,25269
2019,FI,Vinci,48050,Empolese/Valdelsa,13589,11188,36716,40845
2019,GR,Arcidosso,53001,Amiata,2217,968,5516,4961
2019,GR,Campagnatico,53002,Maremma,644,881,3187,6240
2019,GR,Capalbio,53003,Maremma,28445,5896,146659,23779
2019,GR,Castel del Piano,53004,Amiata,10329,2679,22714,8482
2019,GR,Castell'Azzara,53005,Amiata,1040,470,3818,2984
2019,GR,Castiglione della Pescaia,53006,Maremma Area Nord,147822,70882,959870,538230
2019,GR,Cinigiano,53007,Maremma,2091,4062,5563,14992
2019,GR,Civitella Paganico,53008,Maremma,7149,3675,16155,16075
2019,GR,Follonica,53009,Maremma Area Nord,73495,20303,409045,137174
2019,GR,Gavorrano,53010,Maremma Area Nord,7624,9686,22313,56150
2019,GR,Grosseto,53011,Maremma,214503,39137,926946,200883
2019,GR,Isola del Giglio,53012,Maremma,19750,2548,78032,11011
2019,GR,Magliano in Toscana,53013,Maremma,12071,3556,40467,17084
2019,GR,Manciano,53014,Maremma,64201,14753,142204,38108
2019,GR,Massa Marittima,53015,Maremma Area Nord,19591,15203,64573,94159
2019,GR,Monte Argentario,53016,Maremma,40783,18704,120882,59404
2019,GR,Monterotondo Marittimo,53027,Maremma Area Nord,1294,1475,4321,9138
2019,GR,Montieri,53017,Maremma Area Nord,1387,1222,3955,6093
2019,GR,Orbetello,53018,Maremma,171744,29192,1015360,152030
2019,GR,Pitigliano,53019,Maremma,10331,3457,19174,7227
