date,views
2019-01-01,21727
2019-02-01,17115
2019-03-01,21967
2019-04-01,28951
2019-05-01,27684
2019-06-01,30529
2019-07-01,33111
2019-08-01,32764
2019-09-01,27329
2019-10-01,22400
2019-11-01,15084
2019-12-01,15905
2020-01-01,22912
2020-02-01,24676
2020-03-01,32957
2020-04-01,15850
2020-05-01,14945
2020-06-01,17669
2020-07-01,23890
2020-08-01,28208
2020-09-01,35748
2020-10-01,23603
2020-11-01,11964
2020-12-01,11908
2021-01-01,15856
2021-02-01,14238
2021-03-01,15441
2021-04-01,16066
2021-05-01,26156
2021-06-01,27897
2021-07-01,36043
2021-08-01,37695
2021-09-01,29832
2021-10-01,22562
2021-11-01,14237
2021-12-01,17317
2022-01-01,20766
2022-02-01,19149
2022-03-01,21199
2022-04-01,26537
2022-05-01,31822
2022-06-01,36828
2022-07-01,32604
2022-08-01,37597
2022-09-01,33854
2022-10-01,24451
2022-11-01,15535
2022-12-01,13416
2023-01-01,24623
2023-02-01,20090
2023-03-01,22810
2023-04-01,27152
2023-05-01,50357
2023-06-01,33926
2023-07-01,39347
2023-08-01,38924
2023-09-01,28339
2023-10-01,19827
2023-11-01,18499
2023-12-01,13233
2024-01-01,22849
2024-02-01,19997
2024-03-01,22399
2024-04-01,25110
2024-05-01,28890
2024-06-01,24711
2024-07-01,25720
2024-08-01,25174
2024-09-01,27145
2024-10-01,18849
2024-11-01,11464
2024-12-01,12600
2025-01-01,16729
2025-02-01,15766
2025-03-01,19058
2025-04-01,19268
2025-05-01,19383
2025-06-01,19324
2025-07-01,20706
2025-08-01,22476
2025-09-01,20752
2025-10-01,16262
2025-11-01,15177
2025-12-01,11204
2026-01-01,16533
2026-02-01,14956
2026-03-01,16912
2026-04-01,16618
2026-05-01,19812
2026-06-01,689
