anno,letti
2002,244054.0
2003,248577.0
2004,250535.0
2005,257508.0
2006,268197.0
2007,272223.0
2008,288596.0
2009,292968.0
2010,297009.0
2011,298400.0
2012,298400.0
2013,310649.0
2014,313305.0
2015,337923.0
2016,363352.0
2017,376209.0
2018,391157.0
2019,409652.0
2020,420936.0
2021,433045.0
2022,432980.0
2023,392816.0
2024,513289.0
