slug,territorio,zona,n_annunci,adr_mediano
bergamo,Bergamo,Bergamo,1575,120.0
bergamo,Bergamo,Riva di Solto,121,200.0
bergamo,Bergamo,Lovere,118,152.0
bergamo,Bergamo,Seriate,73,107.0
bergamo,Bergamo,Solto Collina,62,172.0
bergamo,Bergamo,Costa Volpino,62,136.0
bergamo,Bergamo,Parzanica,61,202.0
bergamo,Bergamo,Sarnico,58,168.0
bergamo,Bergamo,Predore,55,206.0
bergamo,Bergamo,Castione della Presolana,49,138.0
bergamo,Bergamo,Clusone,44,115.0
bergamo,Bergamo,Tavernola Bergamasca,39,144.0
bergamo,Bergamo,San Pellegrino Terme,38,111.0
bergamo,Bergamo,Orio al Serio,38,100.0
bergamo,Bergamo,Fonteno,37,164.0
bergamo,Bergamo,Azzano San Paolo,36,94.0
bergamo,Bergamo,Serina,36,104.0
bergamo,Bergamo,Ranzanico,33,172.0
bergamo,Bergamo,Colere,32,130.0
bergamo,Bergamo,Stezzano,30,89.0
bergamo,Bergamo,Grassobbio,30,117.0
bergamo,Bergamo,Foppolo,29,116.0
bergamo,Bergamo,Rota d'Imagna,28,125.0
bergamo,Bergamo,Schilpario,28,132.0
bergamo,Bergamo,Bossico,27,130.0
bergamo,Bergamo,Alzano Lombardo,26,78.0
bergamo,Bergamo,Zogno,25,90.0
bergamo,Bergamo,Osio Sotto,25,85.0
bergamo,Bergamo,Roncola,24,111.0
bergamo,Bergamo,Castro,24,140.0
bergamo,Bergamo,Zanica,22,91.0
bergamo,Bergamo,Valbondione,22,117.0
bergamo,Bergamo,Branzi,22,138.0
bergamo,Bergamo,Oltre il Colle,22,83.0
bergamo,Bergamo,Treviglio,21,106.0
bergamo,Bergamo,Selvino,21,146.0
bergamo,Bergamo,Dalmine,21,105.0
bergamo,Bergamo,Vilminore di Scalve,20,124.0
bergamo,Bergamo,Monasterolo del Castello,19,116.0
bergamo,Bergamo,Ponteranica,18,128.0
bergamo,Bergamo,Ponte San Pietro,17,104.0
bergamo,Bergamo,Capriate San Gervasio,17,117.0
bergamo,Bergamo,Endine Gaiano,17,152.0
bergamo,Bergamo,Gromo,17,133.0
bergamo,Bergamo,Palazzago,17,113.0
bergamo,Bergamo,Aviatico,17,135.0
bergamo,Bergamo,Almenno San Salvatore,17,168.0
bergamo,Bergamo,Ardesio,15,116.0
bergamo,Bergamo,Fuipiano Valle Imagna,15,114.0
bergamo,Bergamo,Onore,14,97.0
bergamo,Bergamo,Sant'Omobono Terme,13,180.0
bergamo,Bergamo,Sorisole,13,124.0
bergamo,Bergamo,Trescore Balneario,13,105.0
bergamo,Bergamo,Santa Brigida,12,94.0
bergamo,Bergamo,Villongo,12,176.0
bergamo,Bergamo,Sovere,12,108.0
bergamo,Bergamo,Spinone al Lago,11,143.0
bergamo,Bergamo,Rogno,11,136.0
bergamo,Bergamo,Cerete,11,132.0
bergamo,Bergamo,Villa d'Alm�,11,85.0
bergamo,Bergamo,Piazzatorre,10,100.0
bergamo,Bergamo,Almenno San Bartolomeo,10,149.0
bergamo,Bergamo,Treviolo,10,96.0
bergamo,Bergamo,Scanzorosciate,9,110.0
bergamo,Bergamo,Albino,9,82.0
bergamo,Bergamo,Gandosso,9,144.0
bergamo,Bergamo,San Giovanni Bianco,9,97.0
bergamo,Bergamo,Costa Serina,9,83.0
bergamo,Bergamo,Carona,9,126.0
bergamo,Bergamo,Rovetta,8,114.0
bergamo,Bergamo,Casazza,8,165.0
bergamo,Bergamo,Urgnano,8,72.0
bergamo,Bergamo,Roncobello,8,110.0
bergamo,Bergamo,Torre Boldone,8,99.0
bergamo,Bergamo,Pedrengo,8,96.0
bergamo,Bergamo,Cavernago,8,258.0
bergamo,Bergamo,Cologno al Serio,8,96.0
bergamo,Bergamo,Mozzo,8,108.0
bergamo,Bergamo,Dossena,7,132.0
bergamo,Bergamo,Costa di Mezzate,7,92.0
bergamo,Bergamo,Bracca,7,210.0
bergamo,Bergamo,Boltiere,7,118.0
bergamo,Bergamo,Romano di Lombardia,7,91.0
bergamo,Bergamo,Caprino Bergamasco,7,97.0
bergamo,Bergamo,Brembate,7,123.0
bergamo,Bergamo,Olmo al Brembo,7,173.0
bergamo,Bergamo,Nembro,6,259.0
bergamo,Bergamo,Oneta,6,101.0
bergamo,Bergamo,Adrara San Martino,6,137.0
bergamo,Bergamo,Valgoglio,6,139.0
bergamo,Bergamo,Piazza Brembana,6,168.0
bergamo,Bergamo,Vertova,6,94.0
bergamo,Bergamo,Calusco d'Adda,6,156.0
bergamo,Bergamo,Credaro,6,116.0
bergamo,Bergamo,Verdellino,6,130.0
bergamo,Bergamo,Valleve,6,101.0
bergamo,Bergamo,Pianico,6,181.0
bergamo,Bergamo,Grone,6,131.0
bergamo,Bergamo,Sotto il Monte Giovanni XXIII,6,101.0
bergamo,Bergamo,Curno,6,84.0
bergamo,Bergamo,Mapello,6,148.0
bergamo,Bergamo,Songavazzo,6,121.0
bergamo,Bergamo,Albano Sant'Alessandro,6,92.0
bergamo,Bergamo,Brembate di Sopra,5,87.0
bergamo,Bergamo,Val Brembilla,5,100.0
bergamo,Bergamo,Torre Pallavicina,5,160.0
bergamo,Bergamo,Gorno,5,113.0
bergamo,Bergamo,Suisio,5,114.0
bergamo,Bergamo,Viadanica,5,137.0
bergamo,Bergamo,Cenate Sotto,5,72.0
bergamo,Bergamo,Villa di Serio,5,120.0
bergamo,Bergamo,Fino del Monte,5,106.0
bergamo,Bergamo,Bianzano,5,141.0
bergamo,Bergamo,Brusaporto,5,263.0
bergamo,Bergamo,Grumello del Monte,5,100.0
bergamo,Bergamo,Lallio,5,110.0
bergamo,Bergamo,Taleggio,5,135.0
bergamo,Bergamo,Vigolo,4,129.0
bergamo,Bergamo,Calcio,4,97.0
bergamo,Bergamo,Moio de' Calvi,4,99.0
bergamo,Bergamo,Telgate,4,103.0
bergamo,Bergamo,Gandellino,4,103.0
bergamo,Bergamo,Osio Sopra,4,86.0
bergamo,Bergamo,Pontida,4,266.0
bergamo,Bergamo,Camerata Cornello,4,134.0
bergamo,Bergamo,Borgo di Terzo,4,113.0
bergamo,Bergamo,Entratico,4,81.0
bergamo,Bergamo,Berbenno,4,87.0
bergamo,Bergamo,Bonate Sopra,4,78.0
bergamo,Bergamo,Brignano Gera d'Adda,4,54.0
bergamo,Bergamo,Isola di Fondra,3,109.0
bergamo,Bergamo,Castelli Calepio,3,44.0
bergamo,Bergamo,Spirano,3,119.0
bergamo,Bergamo,Ambivere,3,143.0
bergamo,Bergamo,Cusio,3,67.0
bergamo,Bergamo,Torre de' Roveri,3,81.0
bergamo,Bergamo,Valbrembo,3,119.0
bergamo,Bergamo,Canonica d'Adda,3,97.0
bergamo,Bergamo,Foresto Sparso,3,192.0
bergamo,Bergamo,Adrara San Rocco,3,88.0
bergamo,Bergamo,Gaverina Terme,3,113.0
bergamo,Bergamo,Terno d'Isola,3,89.0
bergamo,Bergamo,Gorle,3,93.0
bergamo,Bergamo,Barzana,3,114.0
bergamo,Bergamo,Leffe,3,62.0
bergamo,Bergamo,Premolo,3,150.0
bergamo,Bergamo,Casnigo,3,97.0
bergamo,Bergamo,Gazzaniga,3,76.0
bergamo,Bergamo,Pradalunga,3,46.0
bergamo,Bergamo,Ponte Nossa,3,96.0
bergamo,Bergamo,Caravaggio,2,93.0
bergamo,Bergamo,Costa Valle Imagna,2,103.0
bergamo,Bergamo,Villa d'Adda,2,87.0
bergamo,Bergamo,Capizzone,2,101.0
bergamo,Bergamo,Cornalba,2,104.0
bergamo,Bergamo,Oltressenda Alta,2,151.0
bergamo,Bergamo,Valtorta,2,96.0
bergamo,Bergamo,Ranica,2,76.0
bergamo,Bergamo,Presezzo,2,105.0
bergamo,Bergamo,Fontanella,2,94.0
bergamo,Bergamo,Alm�,2,211.0
bergamo,Bergamo,Montello,2,106.0
bergamo,Bergamo,Villa d'Ogna,2,128.0
bergamo,Bergamo,Calcinate,2,62.0
bergamo,Bergamo,Parre,2,150.0
bergamo,Bergamo,Sedrina,2,108.0
bergamo,Bergamo,Locatello,2,65.0
bergamo,Bergamo,Averara,2,111.0
bergamo,Bergamo,Cividate al Piano,2,27.0
bergamo,Bergamo,Ciserano,2,110.0
bergamo,Bergamo,Bonate Sotto,2,502.0
bergamo,Bergamo,Brumano,1,354.0
bergamo,Bergamo,Pontirolo Nuovo,1,173.0
bergamo,Bergamo,Chiuduno,1,94.0
bergamo,Bergamo,San Paolo d'Argon,1,162.0
bergamo,Bergamo,Azzone,1,94.0
bergamo,Bergamo,Bottanuco,1,84.0
bergamo,Bergamo,Vedeseta,1,80.0
bergamo,Bergamo,Palosco,1,175.0
bergamo,Bergamo,Arzago d'Adda,1,88.0
bergamo,Bergamo,Valnegra,1,46.0
bergamo,Bergamo,Peia,1,100.0
bergamo,Bergamo,Medolago,1,83.0
bergamo,Bergamo,Berzo San Fermo,1,80.0
bergamo,Bergamo,Corna Imagna,1,323.0
bergamo,Bergamo,Verdello,1,61.0
bergamo,Bergamo,Cisano Bergamasco,1,163.0
bergamo,Bergamo,Lenna,1,82.0
bergamo,Bergamo,Casirate d'Adda,1,99.0
bergamo,Bergamo,Gandino,1,167.0
bergamo,Bergamo,Solza,1,92.0
bergamo,Bergamo,Strozza,1,149.0
bergamo,Bergamo,Madone,1,72.0
bergamo,Bergamo,Paladina,1,94.0
bergamo,Bergamo,Mozzanica,1,58.0
bergamo,Bergamo,Fara Gera d'Adda,1,78.0
bergamo,Bergamo,Fiorano al Serio,1,80.0
bergamo,Bergamo,Levate,1,139.0
bergamo,Bergamo,Filago,0,
bergamo,Bergamo,Calvenzano,0,
bergamo,Bergamo,Cene,0,
bologna,Bologna,Santo Stefano,1626,142.0
bologna,Bologna,Porto - Saragozza,1510,134.0
bologna,Bologna,Navile,545,111.0
bologna,Bologna,San Donato - San Vitale,495,113.0
bologna,Bologna,Borgo Panigale - Reno,223,103.0
bologna,Bologna,Savena,145,103.0
florence,Firenze,Centro Storico,9162,180.0
florence,Firenze,Campo di Marte,1186,137.0
florence,Firenze,Rifredi,1104,127.0
florence,Firenze,Isolotto Legnaia,553,132.0
florence,Firenze,Gavinana Galluzzo,443,134.0
milan,Milano,BUENOS AIRES - VENEZIA,1873,144.0
milan,Milano,DUOMO,1630,206.0
milan,Milano,CENTRALE,1022,140.0
milan,Milano,SARPI,1002,135.0
milan,Milano,BRERA,973,187.0
milan,Milano,NAVIGLI,922,137.0
milan,Milano,LORETO,858,118.0
milan,Milano,TICINESE,844,141.0
milan,Milano,ISOLA,745,130.0
milan,Milano,XXII MARZO,643,148.0
milan,Milano,GUASTALLA,541,164.0
milan,Milano,PORTA ROMANA,529,138.0
milan,Milano,LODI - CORVETTO,508,110.0
milan,Milano,MAGENTA - S. VITTORE,474,152.0
milan,Milano,CITTA' STUDI,451,123.0
milan,Milano,VILLAPIZZONE,431,111.0
milan,Milano,BANDE NERE,416,118.0
milan,Milano,DE ANGELI - MONTE ROSA,398,138.0
milan,Milano,WASHINGTON,395,136.0
milan,Milano,TORTONA,394,140.0
milan,Milano,GIAMBELLINO,374,113.0
milan,Milano,PADOVA,359,106.0
milan,Milano,MACIACHINI - MAGGIOLINA,353,130.0
milan,Milano,GARIBALDI REPUBBLICA,348,169.0
milan,Milano,VIGENTINA,344,147.0
milan,Milano,UMBRIA - MOLISE,303,112.0
milan,Milano,VIALE MONZA,293,109.0
milan,Milano,S. CRISTOFORO,293,112.0
milan,Milano,DERGANO,282,120.0
milan,Milano,STADERA,271,108.0
milan,Milano,PAGANO,268,154.0
milan,Milano,SELINUNTE,267,130.0
milan,Milano,GHISOLFA,255,120.0
milan,Milano,SCALO ROMANA,233,111.0
milan,Milano,CORSICA,229,124.0
milan,Milano,TIBALDI,227,112.0
milan,Milano,AFFORI,205,108.0
milan,Milano,GRECO,180,121.0
milan,Milano,BOVISA,173,110.0
milan,Milano,RIPAMONTI,166,113.0
milan,Milano,GALLARATESE,157,128.0
milan,Milano,EX OM - MORIVIONE,152,128.0
milan,Milano,MECENATE,145,114.0
milan,Milano,NIGUARDA - CA' GRANDA,143,111.0
milan,Milano,S. SIRO,123,143.0
milan,Milano,PORTELLO,120,148.0
milan,Milano,RONCHETTO SUL NAVIGLIO,117,112.0
milan,Milano,PARCO LAMBRO - CIMIANO,115,108.0
milan,Milano,FARINI,113,126.0
milan,Milano,MAGGIORE - MUSOCCO,112,125.0
milan,Milano,LAMBRATE,100,104.0
milan,Milano,LORENTEGGIO,96,119.0
milan,Milano,ROGOREDO,89,134.0
milan,Milano,FORZE ARMATE,72,109.0
milan,Milano,BICOCCA,71,120.0
milan,Milano,ADRIANO,70,105.0
milan,Milano,BAGGIO,66,105.0
milan,Milano,QUARTO OGGIARO,58,101.0
milan,Milano,BARONA,58,106.0
milan,Milano,QUARTO CAGNINO,56,154.0
milan,Milano,ORTOMERCATO,49,101.0
milan,Milano,QT 8,43,104.0
milan,Milano,BRUZZANO,41,83.0
milan,Milano,COMASINA,32,94.0
milan,Milano,PARCO FORLANINI - ORTICA,30,112.0
milan,Milano,GRATOSOGLIO - TICINELLO,30,88.0
milan,Milano,PARCO SEMPIONE,27,171.0
milan,Milano,PARCO MONLUE' - PONTE LAMBRO,23,109.0
milan,Milano,TRE TORRI,18,156.0
milan,Milano,QUINTO ROMANO,14,149.0
milan,Milano,TRIULZO SUPERIORE,14,97.0
milan,Milano,QUINTOSOLE,13,98.0
milan,Milano,TRENNO,12,110.0
milan,Milano,BOVISASCA,11,98.0
milan,Milano,FIGINO,10,46.0
milan,Milano,GIARDINI PORTA VENEZIA,9,89.0
milan,Milano,PARCO BOSCO IN CITT,9,104.0
milan,Milano,CANTALUPA,8,92.0
milan,Milano,PARCO DEI NAVIGLI,7,141.0
milan,Milano,PARCO DELLE ABBAZIE,7,98.0
milan,Milano,MUGGIANO,7,110.0
milan,Milano,CHIARAVALLE,6,98.0
milan,Milano,SACCO,5,112.0
milan,Milano,PARCO NORD,2,107.0
milan,Milano,RONCHETTO DELLE RANE,2,76.0
milan,Milano,STEPHENSON,2,120.0
milan,Milano,PARCO AGRICOLO SUD,1,112.0
milan,Milano,CASCINA TRIULZA - EXPO,0,
naples,Napoli,San Lorenzo,2106,97.0
naples,Napoli,Pendino,1061,111.0
naples,Napoli,San Ferdinando,960,132.0
naples,Napoli,Chiaia,786,131.0
naples,Napoli,Montecalvario,785,111.0
naples,Napoli,Avvocata,673,101.0
naples,Napoli,Porto,642,115.0
naples,Napoli,San Giuseppe,632,119.0
naples,Napoli,Stella,533,93.0
naples,Napoli,San Carlo all'Arena,468,84.0
naples,Napoli,Vomero,419,114.0
naples,Napoli,Vicaria,383,88.0
naples,Napoli,Mercato,237,98.0
naples,Napoli,Zona Industriale,227,92.0
naples,Napoli,Fuorigrotta,227,113.0
naples,Napoli,Arenella,199,100.0
naples,Napoli,Posillipo,144,186.0
naples,Napoli,Poggioreale,86,112.0
naples,Napoli,Bagnoli,75,100.0
naples,Napoli,Secondigliano,58,86.0
naples,Napoli,San Giovanni a Teduccio,37,90.0
naples,Napoli,San Pietro a Patierno,33,101.0
naples,Napoli,Ponticelli,27,82.0
naples,Napoli,Barra,22,86.0
naples,Napoli,Chiaiano,21,92.0
naples,Napoli,Soccavo,21,95.0
naples,Napoli,Piscinola,16,99.0
naples,Napoli,Pianura,10,92.0
naples,Napoli,Miano,7,120.0
naples,Napoli,Scampia,3,32.0
puglia,Puglia,Bari,3587,133.0
puglia,Puglia,Ostuni,2401,215.0
puglia,Puglia,Lecce,2067,116.0
puglia,Puglia,Gallipoli,2033,157.0
puglia,Puglia,Porto Cesareo,1765,166.0
puglia,Puglia,Monopoli,1713,207.0
puglia,Puglia,Nard,1253,146.0
puglia,Puglia,Polignano a Mare,1071,185.0
puglia,Puglia,Martina Franca,950,172.0
puglia,Puglia,Otranto,926,157.0
puglia,Puglia,Melendugno,917,134.0
puglia,Puglia,Ugento,869,146.0
puglia,Puglia,Salve,866,162.0
puglia,Puglia,Fasano,747,180.0
puglia,Puglia,Carovigno,713,218.0
puglia,Puglia,Manduria,636,177.0
puglia,Puglia,Ceglie Messapica,607,183.0
puglia,Puglia,Vieste,607,137.0
puglia,Puglia,Taranto,570,100.0
puglia,Puglia,Locorotondo,538,173.0
puglia,Puglia,Racale,533,141.0
puglia,Puglia,Taviano,517,127.0
puglia,Puglia,Castrignano del Capo,510,149.0
puglia,Puglia,Brindisi,488,104.0
puglia,Puglia,Cisternino,456,178.0
puglia,Puglia,Alberobello,448,152.0
puglia,Puglia,Trani,438,100.0
puglia,Puglia,Alliste,394,127.0
puglia,Puglia,Maruggio,356,155.0
puglia,Puglia,Peschici,349,120.0
puglia,Puglia,Castellana Grotte,345,160.0
puglia,Puglia,Morciano di Leuca,342,155.0
puglia,Puglia,Conversano,304,115.0
puglia,Puglia,Tricase,261,137.0
puglia,Puglia,San Vito dei Normanni,252,241.0
puglia,Puglia,Bisceglie,251,109.0
puglia,Puglia,Matino,248,123.0
puglia,Puglia,Barletta,240,92.0
puglia,Puglia,Mattinata,239,132.0
puglia,Puglia,Castro,236,134.0
puglia,Puglia,Sannicola,230,130.0
puglia,Puglia,Santa Cesarea Terme,224,120.0
puglia,Puglia,Mola di Bari,215,117.0
puglia,Puglia,Galatina,214,114.0
puglia,Puglia,Galatone,213,110.0
puglia,Puglia,Gagliano del Capo,204,161.0
puglia,Puglia,Pat,202,141.0
puglia,Puglia,Pulsano,200,140.0
puglia,Puglia,Foggia,193,65.0
puglia,Puglia,Uggiano la Chiesa,192,104.0
puglia,Puglia,Manfredonia,190,98.0
puglia,Puglia,Diso,188,164.0
puglia,Puglia,Putignano,177,131.0
puglia,Puglia,Noci,173,136.0
puglia,Puglia,Molfetta,170,103.0
puglia,Puglia,Giovinazzo,162,118.0
puglia,Puglia,Altamura,159,80.0
puglia,Puglia,Parabita,157,130.0
puglia,Puglia,Leporano,143,168.0
puglia,Puglia,Alezio,138,122.0
puglia,Puglia,Vico del Gargano,135,112.0
puglia,Puglia,Tuglie,131,110.0
puglia,Puglia,Monte Sant'Angelo,131,92.0
puglia,Puglia,Mesagne,130,100.0
puglia,Puglia,Margherita di Savoia,130,134.0
puglia,Puglia,Gravina in Puglia,129,81.0
puglia,Puglia,Corsano,129,150.0
puglia,Puglia,Casarano,127,117.0
puglia,Puglia,San Michele Salentino,123,328.0
puglia,Puglia,Alessano,120,117.0
puglia,Puglia,Cutrofiano,117,115.0
puglia,Puglia,Ginosa,115,127.0
puglia,Puglia,Leverano,115,107.0
puglia,Puglia,Presicce,115,118.0
puglia,Puglia,Andria,111,95.0
puglia,Puglia,Francavilla Fontana,108,198.0
puglia,Puglia,Maglie,107,116.0
puglia,Puglia,Castellaneta,101,110.0
puglia,Puglia,Torricella,101,142.0
puglia,Puglia,Carpignano Salentino,99,125.0
puglia,Puglia,Bitonto,98,94.0
puglia,Puglia,Grottaglie,97,98.0
puglia,Puglia,Vernole,97,107.0
puglia,Puglia,Squinzano,96,122.0
puglia,Puglia,Torchiarolo,95,168.0
puglia,Puglia,Martano,94,116.0
puglia,Puglia,Corato,90,87.0
puglia,Puglia,Rodi Garganico,89,110.0
puglia,Puglia,Lizzano,86,164.0
puglia,Puglia,Poggiardo,83,115.0
