anno,letti
2002,188111.0
2003,193892.0
2004,204005.0
2005,202417.0
2006,207612.0
2007,209701.0
2008,222464.0
2009,229927.0
2010,238972.0
2011,249784.0
2012,246282.0
2013,247699.0
2014,269373.0
2015,284041.0
2016,274835.0
2017,272970.0
2018,279653.0
2019,284854.0
2020,287079.0
2021,294312.0
2022,315608.0
2023,301782.0
2024,313727.0
