anno,letti
2002,146685.0
2003,147019.0
2004,151077.0
2005,163626.0
2006,169207.0
2007,179766.0
2008,182633.0
2009,181307.0
2010,183678.0
2011,185754.0
2012,189101.0
2013,190951.0
2014,192665.0
2015,195806.0
2016,197320.0
2017,198835.0
2018,200869.0
2019,199143.0
2020,201362.0
2021,200669.0
2022,201515.0
2023,203842.0
2024,207817.0
