anno,letti
2002,139313.0
2003,146847.0
2004,157356.0
2005,165473.0
2006,173621.0
2007,181411.0
2008,186793.0
2009,189005.0
2010,196777.0
2011,195839.0
2012,193395.0
2013,204411.0
2014,207770.0
2015,193634.0
2016,196178.0
2017,203260.0
2018,205890.0
2019,210923.0
2020,212933.0
2021,210001.0
2022,215420.0
2023,219098.0
2024,193515.0
