anno,letti
2002,158042.0
2003,159816.0
2004,166751.0
2005,170847.0
2006,184796.0
2007,189239.0
2008,203571.0
2009,199042.0
2010,202491.0
2011,207002.0
2012,204571.0
2013,181684.0
2014,206853.0
2015,212220.0
2016,209896.0
2017,211835.0
2018,212801.0
2019,217334.0
2020,217044.0
2021,218073.0
2022,222074.0
2023,223033.0
2024,235493.0
