anno,letti
2005,158457.0
2006,157782.0
2007,157644.0
2008,160763.0
2009,164929.0
2010,166389.0
2012,167913.0
2013,167785.0
2014,167738.0
2015,169418.0
2016,168584.0
2017,169820.0
2018,171974.0
2019,172148.0
2020,166042.0
2021,165215.0
2022,167726.0
2023,172694.0
2024,175048.0
