anno,letti
2002,213774.0
2003,211845.0
2004,203890.0
2005,225644.0
2006,225535.0
2007,226960.0
2008,232329.0
2009,138244.0
2010,192898.0
2011,194405.0
2012,193065.0
2013,192907.0
2014,258249.0
2015,199713.0
2016,201178.0
2017,193310.0
2018,205217.0
2019,199931.0
2020,197697.0
2021,177121.0
2022,180420.0
2023,176231.0
2024,181767.0
